sector,longBusinessSummary,city,phone,state,country,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,recommendationKey,grossProfits,freeCashflow,currentPrice,currentRatio,returnOnAssets,debtToEquity,returnOnEquity,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,enterpriseToRevenue,enterpriseToEbitda,fiftyTwoWeekChange,sharesOutstanding,bookValue,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,floatShares,beta,enterpriseValue,priceHint,priceToSalesTrailing12Months,forwardPE,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,regularMarketDayHigh,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,openPrice,averageVolume10days,regularMarketDayLow,currency,regularMarketVolume,marketCap,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,tradeable,bidSize,dayHigh,regularMarketPrice,logoUrl,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
Technology,"Pointerra Limited provides a cloud-based solution for storing, processing, managing, analyzing, extracting, visualizing, and sharing 3D data. The company offers Pointerra3D CORE, a baseline platform that provides access and 3D data workflow; Pointerra3D ANALYTICS, a digital twin to enable intelligent analysis of physical assets; and Pointerra3D ANSWERS delivers predictive insights that enable definitive answers to physical asset management questions. It serves, survey and mapping, AEC, utilities, transport, mining, oil and gas, and defense and intelligence industries. Pointerra Limited is based in Subiaco, Australia.",Subiaco,61 8 6323 6100,WA,Australia,https://www.pointerra.com,1,27 Railway Road,Software—Application,0.05666,-0.27277002,0.39719,-1592425,1.73,-0.10564,555322,none,3893118,589692,0.195,1.781,-0.08081,10.598,-0.67877,3596423,348581,9801575,0.005,AUD,0.014,1.779,ASX,POINTERRA FPO,Pointerra Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,3DP.AX,finmb_311601997,au_market,13.153,232.161,-0.4583333,677806016,0.005,1656547200,0.0013400001,-2673599,-0.004,-0.16598755,39.0,0.40048,1719705600,1656547200,419867053,1.646274,128924368,4,13.484789,9.75,0.185,0.19,0.2195375,0.0,0.0,0.205,243504,0.185,0.1959,0.0,0.19,243504,0.19,AUD,1025301,132172168,244459,0.19,0.195,4868500,1025301,0.43,0.17,0.19,False,7755200,0.205,0.195,https://logo.clearbit.com/pointerra.com,,,,
Industrials,"3D Metalforge Limited provides additive manufacturing services worldwide. The company offers a range of in-house manufacturing services, including design and engineering, material advisory, diagnostics and testing, printing, and post-production services. It also provides diagnostic analysis, client facility operation, part production, and education and training services. 3D Metalforge Limited was founded in 2012 and is based in Perth, Australia.",Perth,,WA,Australia,https://www.3dmetalforge.com,1,88 William Street,Metal Fabrication,0.0,0.0,0.04662,-5782440,,-5.1777196,-4738664,none,44587,-2882136,0.013,1.131,-0.82041,734.858,-10.4016695,2073141,4538742,956335,0.011,AUD,0.006,0.756,ASX,3DMETALFL FPO,3D Metalforge Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,3MF.AX,finmb_699179007,au_market,5.163,-1.042,-0.8659794,240839008,0.003,1640908800,0.01579,-5140484,-0.031,-0.16598755,4.3333335,0.50073004,1703980800,1640908800,96067275,,4937151,4,3.2738602,,0.013,0.014,0.01729,0.0,0.0,0.014,0,0.013,0.013,0.0,0.014,0,0.013,AUD,557364,3130907,0,0.013,0.013,,557364,0.1,0.011,0.012,False,,0.014,0.013,https://logo.clearbit.com/3dmetalforge.com,,,,
Consumer Defensive,"3P Learning Limited, together with its subsidiaries, engages in the development, marketing, and sale of educational software and e-books to schools and parents of school-aged students. It provides online education, and adaptive and collaborative learning, including mathematics and literacy products. The company offers Mathseeds, Mathletics, Reading Eggs, and Spellodrome, as well as ReadiWriter, and WordFlyers products. It serves approximately 6 million students in approximately 17,000 schools worldwide. 3P Learning Limited was incorporated in 2003 and is headquartered in Leichhardt, Australia.",Leichhardt,61 1 3008 50331,NSW,Australia,https://www.3plearning.com,1,655 Parramatta Road,Education & Training Services,0.04429,-0.00551,0.40254003,12764000,0.575,0.01307,4308000,buy,39152000,12742994,1.26,0.766,0.0030899998,1.114,-0.0029,31172000,2160000,97263000,0.113,AUD,0.352,0.685,ASX,3PLEARNING FPO,3P Learning Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,3PL.AX,finmb_33173184,au_market,3.283,74.127,-0.2588235,276484000,0.701,1656547200,0.3202,-536000,-0.054,-0.16598755,1.7974323,0.52674,1719705600,1656547200,85491670,0.207843,319341056,4,3.5817301,31.5,1.26,1.26,1.3382125,0.0,0.0,1.26,20942,1.26,1.2965,0.0,1.26,20942,1.26,AUD,4450,348369824,9166,1.26,1.26,322800,4450,1.78,1.165,1.255,False,496000,1.26,1.26,https://logo.clearbit.com/3plearning.com,,,,
Technology,"4DS Memory Limited engages in the research and development of non-volatile memory technology. The company develops interface switching ReRAM products for storage class memory in mobile devices and cloud data centers. It has a collaboration agreement with the imec. 4DS Memory Limited was founded in 2007 and is based in West Perth, Australia.",West Perth,61 8 6377 8043,WA,Australia,https://www.4dsmemory.com,1,50 Kings Park Road,Semiconductors,0.0,0.0,1.0,-5392990,,-274.50604,-6367854,none,23646,-3391924,0.04,22.222,-0.76005,3.186,-1.4396601,5234447,172300,23646,0.004,AUD,0.0,21.99,ASX,4DSMEMORY FPO,4DS Memory Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,4DS.AX,finmb_54211342,au_market,2289.117,-8.5,-0.50617284,1479769984,0.004,1656547200,0.00526,-6732079,-0.005,-0.16598755,9.999999,0.13632,1719705600,1656547200,1278043820,1.797254,54128472,4,2503.2056,,0.038,0.038,0.0588375,0.0,0.0,0.04,3211015,0.038,0.03091,0.0,0.038,3211015,0.038,AUD,2321048,59190800,5208297,0.038,0.04,103056100,2321048,0.1325,0.022,0.039,False,31296500,0.04,0.04,https://logo.clearbit.com/4dsmemory.com,,,,
Healthcare,"4DMedical Limited operates as a medical technology company in Australia and the United States. It commercializes XV Technology, a four-dimensional lung imaging technology. The company also offers software as a service delivery model; XV lung ventilation analysis software; Permetium, a preclinical imaging system which quantify regional changes in pulmonary function; and AccuVent 200, a small animal ventilator. The company was incorporated in 2012 and is based in Carlton, Australia.",Carlton,61 3 9545 5940,VIC,Australia,https://www.4dmedical.com,1,Melbourne Connect,Medical Devices,0.0,0.0,0.26615998,-25269278,12.55,-34.8578,-36341484,buy,280617,-26229112,0.405,6.157,-0.27516,10.484,-0.34428,51114536,6239178,1054300,0.173,AUD,0.004,6.014,ASX,4DMEDICAL FPO,4DMedical Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,4DX.AX,finmb_317172338,au_market,70.633,-2.049,-0.67857146,294492000,0.202,1656547200,0.07124,-24592876,-0.077,-0.16598755,2.0049505,0.31287,1719705600,1656547200,207643275,0.167452,74468328,4,113.126495,-5.785714,0.395,0.4,0.5825,0.0,0.0,0.405,270132,0.395,0.467,0.0,0.4,270132,0.385,AUD,136230,119269264,356307,0.385,0.405,0,136230,1.295,0.32,0.385,False,0,0.405,0.405,https://logo.clearbit.com/4dmedical.com,,,,
Basic Materials,"5E Advanced Materials Inc. engages in the exploration and development of mineral properties in Australia and the United States. The company primarily explores for borates and lithium deposits. It focuses on the Fort Cady project located in Southern California. The company was formerly known as American Pacific Borates Limited. 5E Advanced Materials Inc. was incorporated in 2016 and is headquartered in Houston, Texas.",Houston,346 439 9656,TX,United States,https://5eadvancedmaterials.com,1,19500 State Highway 249,Specialty Chemicals,0.0,0.0,0.0,-31611000,,0.0,-65612000,hold,-12853000,-16001591,1.305,7.927,-0.45051,62.462,-0.84573,74205000,42989000,,0.169,USD,,7.766,ASX,5EADVANCED CDI 10:1,5E Advanced Materials Inc.,Australia/Sydney,AEDT,False,39600000,EQUITY,5EA.AX,finmb_432539524,au_market,,-8.254,-0.5576271,438892000,0.159,1656547200,0.19861999,-52638000,-0.021,-0.16598755,8.207547,0.46451,1719705600,1664496000,254565975,,541537664,4,,,1.285,1.3,2.30265,0.0,0.0,1.34,381112,1.285,1.5469,0.0,1.3,381112,1.285,AUD,254420,572754048,828355,1.285,1.33,,254420,3.84,1.1,1.3,False,,1.34,1.305,https://logo.clearbit.com/5eadvancedmaterials.com,,,,
Communication Services,"Pentanet Limited operates as a telecommunications carrier and internet service provider in Perth, Australia. It operates in two segments, Internet and Telecommunication Services, and Gaming Technology. The company offers fixed wireless network services to residential and business customers. It also provides national broadband network, PentaMAX, XFIBRE, and apartment broadband products, as well as offers Wi-Fi setup services, and business and commercial solutions. Pentanet Limited was incorporated in 2017 and is headquartered in Perth, Australia.",Perth,61 8 9466 2670,WA,Australia,https://www.pentanet.com.au,1,45 St Georges Terrace,Telecom Services,-0.30837,-0.46266997,0.060370002,-4824000,0.489,-0.45414,-5282000,buy,1034000,-9356125,0.2,2.024,-0.09789,6.868,-0.21158001,13388000,2305000,17129000,0.045,AUD,0.058,1.882,ASX,PENTANET FPO,Pentanet Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,5GG.AX,finmb_698296560,au_market,2.893,-9.382,-0.6172249,295811008,0.113,1656547200,0.00904,-7925000,-0.021,-0.16598755,1.7699115,0.30833998,1719705600,1656547200,190093880,,49558196,4,3.4539206,-20.0,0.2,0.2,0.2991125,0.0,0.0,0.2,90200,0.2,0.24535,0.0,0.2,90200,0.2,AUD,21000,59162204,133007,0.2,0.2,2000000,21000,0.535,0.1875,0.195,False,1155100,0.2,0.2,https://logo.clearbit.com/pentanet.com.au,,,,
Energy,"88 Energy Limited explores for oil and gas properties in the United States. It primarily holds a 75% working interest in the Icewine project, which covers an area of approximately 193,000 acres located in North Slope of Alaska, the United States; 100% working interest in the Yukon project covering an area of approximately 38,681 acres situated in the Central North Slope of Alaska; 50% working interest in Peregrine project covering an area of approximately 195,373 acres located in the NPR-A region of the North Slope of Alaska; and 100% working interest in the Umiat Oil Field project covering an area of approximately 17,633 acres situated in the immediate south of Peregrine project North Slope of Alaska. The company was formerly known as Tangiers Petroleum Limited and changed its name to 88 Energy Limited in February 2015. 88 Energy Limited was incorporated in 1996 and is based in Subiaco, Australia.",Subiaco,61 8 9485 0990,WA,Australia,https://www.88energy.com,1,516 Hay Street,Oil & Gas E&P,0.0,0.0,0.0,-5308170,-0.999,17.15984,-74167936,none,,-108082832,0.011,2.187,-0.38375,,-0.65599,10469843,0,-4327725,0.001,AUD,0.0,1.994,ASX,88 ENERGY FPO,88 Energy Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,88E.AX,finmb_20411742,au_market,-35.962,-2.098,-0.6333333,18265800704,0.007,1640908800,0.00229,-70156128,0.0,-0.16598755,1.5714285,0.008909999,1703980800,1656547200,16462210458,1.390912,155632224,4,-51.069626,,0.011,0.01,0.010695,0.0,0.0,0.011,9820132,0.011,0.00971,0.0,0.01,9820132,0.01,AUD,6217651,221015296,22566895,0.01,0.011,5595640700,6217651,0.053,0.007,0.01,False,28461360500,0.011,0.011,https://logo.clearbit.com/88energy.com,,,,
Technology,"8common Limited develops and distributes software solutions in Australia, Asia, North America, and internationally. It offers Expense8, a travel and expense management software solution that manages and streamlines the end-to-end processing of employee-generated expenses; Perform8, a survey and action planning solution that diagnoses and prioritizes areas for enhancement across the business; and CardHero, an integrated fund disbursement and spend management solution. The company serves publicly listed companies, global corporations, and local and national governments. 8common Limited was incorporated in 2014 and is headquartered in Sydney, Australia.",Sydney,61 2 8328 0505,NSW,Australia,https://www.8common.com,1,320 Pitt Street,Software—Application,-0.50153,-0.54728,-0.12703,-1660465,0.705,-0.50377,-2292028,none,-580514,-2594950,0.095,2.091,-0.18334,,-0.41634998,3252940,0,4570052,0.015,AUD,0.021,2.049,ASX,8COMMONLTD FPO,8common Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,8CO.AX,finmb_266500775,au_market,3.908,-7.793,-0.40625,222796000,0.031,1656547200,0.04383,-2501090,-0.009,-0.16598755,3.064516,0.47876,1719705600,1656547200,115848042,1.249902,17861256,4,4.7288885,,0.095,0.095,0.1023825,0.0,0.0,0.095,31424,0.095,0.09401,0.0,0.095,31424,0.095,AUD,18585,21611266,34013,0.095,0.099,13145100,18585,0.2,0.083,0.095,False,14236700,0.095,0.095,https://logo.clearbit.com/8common.com,,,,
Consumer Defensive,"8I Holdings Limited, an investment holding company, engages in the financial education technology and financial asset management businesses. It operates through Financial Education, Financial Investment, and All Other segments. The company is involved in the fintech and financial educational space with operations under the VI brand in Singapore, Malaysia, Taiwan, and China. It offers VI App, a smart stock analysis and screening tool infused with a social networking element to enable users to invest. The company also engages in the fund management business in Singapore; and invests in public listed equities in the United States and the Asia-Pacific region. In addition, it provides business management consultancy; computer programming, data processing, and hosting; and financial education and training services, as well as organizes seminar and programs. The company was founded in 2008 and is headquartered in Singapore.",Singapore,65 6801 4500,,Singapore,https://www.8iholdings.com,1,"No. 01-01, 1557 Keppel Road",Education & Training Services,-1.74269,-1.27601,0.21058,13854928,-0.695,-1.7978101,-19812774,none,15754259,-13926328,0.05,2.039,-0.205,17.719,-0.43278998,42598408,5156352,11369098,0.119,SGD,0.032,1.986,ASX,8I HOLD CDI 1:1,8I Holdings Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,8IH.AX,finmb_275605035,au_market,-1.494,0.857,-0.7619048,357356000,0.074,1648684800,0.0,-14507089,-0.012,-0.16598755,0.6756757,0.51321,1711843200,1664496000,205175944,0.584018,-16982604,4,1.571611,,0.05,0.05,0.079655,0.0,0.0,0.05,33285,0.05,0.05544,0.0,0.05,33285,0.05,AUD,200002,17867800,14998,0.05,0.065,299200,200002,0.22,0.05,0.045,False,15000000,0.05,0.05,https://logo.clearbit.com/8iholdings.com,,,,
Consumer Defensive,"8VI Holdings Limited, an investment holding company, operates as a financial education technology company under the VI brand name in Singapore and internationally. The company's VI App is a proprietary stock analysis tool that crunches traditional financial data, simplifies the stock analysis, and provides decision-making process for equity investors into visuals under a framework. The company was formerly known as 8VIC Holdings Limited and changed its name to 8VI Holdings Limited in July 2020. The company was founded in 2008 and is based in Singapore. 8VI Holdings Limited is a subsidiary of 8I Holdings Limited.",Singapore,,,Singapore,,1,"No. 01-01, 1557 Keppel Road",Education & Training Services,-0.1459,-0.21943001,0.6543,709060,-0.422,-0.17687,-3489491,none,23313936,-3367158,0.72,1.629,-0.07671,37.702,-0.28791,22388446,5156353,23917336,0.528,SGD,0.564,1.589,ASX,8VIHOLD CDI 1:1,8VI Holdings Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,8VI.AX,finmb_573020456,au_market,0.674,-4.62,-0.81491005,42381400,0.256,1648684800,0.0,-5248222,0.05,-0.16598755,2.8125,0.86793,1711843200,1664496000,996902,0.860779,16121624,4,1.2758365,,0.72,0.72,1.31095,0.0,0.0,0.72,2590,0.72,0.729,0.0,0.72,2590,0.72,AUD,316,30514610,1136,0.72,0.75,360700,316,3.89,0.67,0.72,False,200,0.72,0.72,https://logo.clearbit.com/8VIHOLD.com,,,,
Energy,"92 Energy Limited operates as a uranium exploration company in the Athabasca Basin region in Saskatchewan, Canada. It holds interests in the Gemini project that consists of 13 granted mineral claims with a total area of 445.3 square kilometers; the Tower project, which comprises two granted mineral claims with a total area of 63.0 square kilometers; the Clover project that consists of six granted mineral claims with a total area of 267.5 square kilometers; the Powerline project, which comprises eight mineral claims with a total area of 205.3 square kilometers; and the Cypress River project that consists of one mineral claim with a total area of 34.7 square kilometers. The company was incorporated in 2020 and is based in Perth, Australia.",Perth,61 8 9322 7600,WA,Australia,https://www.92energy.com,1,The Read Buildings,Uranium,0.0,0.0,0.0,-8803025,,0.0,-9225917,none,,-2305595,0.44,3.614,-0.491,0.434,-0.95441,12076602,50787,,0.137,AUD,,3.614,ASX,92ENERGY FPO,92 Energy Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,92E.AX,finmb_693159661,au_market,,-2.604,-0.3383459,92686600,0.133,1656547200,0.03543,-9418302,-0.097,-0.16598755,3.3082707,0.27576,1719705600,1656547200,62618597,,24019990,4,,,0.42,0.425,0.534925,0.0,0.0,0.44,56430,0.42,0.4738,0.0,0.425,56430,0.41,AUD,102131,41279436,280230,0.41,0.44,,102131,0.935,0.35,0.43,False,,0.44,0.44,https://logo.clearbit.com/92energy.com,,,,
Basic Materials,"Atlantic Lithium Limited engages in the exploration and development of mineral properties in West Africa. It primarily explores for lithium deposits. The company's flagship project is the Ewoyaa lithium project located in Ghana. It also holds interest in a lithium property covering an area of 774 square kilometers in Côte d'Ivoire. The company was formerly known as IronRidge Resources Limited and changed its name to Atlantic Lithium Limited in November 2021. Atlantic Lithium Limited was incorporated in 2007 and is based in Sydney, Australia.",Sydney,61 2 8072 0640,NSW,Australia,https://www.atlanticlithium.com.au,1,Australia Square,Other Industrial Metals & Mining,0.0,0.0,0.0,-5382995,,0.0,-17536406,strong_buy,,-21870988,0.675,6.181,-0.19709998,,-0.67266,23881650,0,,0.039,AUD,,6.076,ASX,ATLANTICLI FPO,Atlantic Lithium Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,A11.AX,finmb_225714518,au_market,,-21.436,0.16379309,605742016,0.06,1656547200,0.03041,-34647544,,-0.16598755,11.25,0.47917998,1719705600,1656547200,384094729,0.157853,375907840,4,,,0.645,0.655,0.70716214,0.0,0.0,0.685,172685,0.645,0.7495,0.0,0.655,172685,0.635,AUD,231219,413392960,620946,0.635,0.69,,231219,0.995,0.52,0.675,False,,0.685,0.675,https://logo.clearbit.com/atlanticlithium.com.au,,,,
Basic Materials,"African Gold Limited engages in acquiring, exploring, evaluating, and exploiting mineral resource projects in Africa. The company explores for gold, nickel, cobalt, copper, lithium, tantalum, niobium, and beryllium deposits. It holds interests in various permits in Cote d'Ivoire and Mali. The company was incorporated in 2018 and is headquartered in Subiaco, Australia.",Subiaco,61 8 6143 6749,WA,Australia,https://www.african-gold.com,1,513 Hay Street,Other Industrial Metals & Mining,0.0,0.0,0.0,-838453,,0.0,-2925536,none,,-3922416,0.09,2.23,-0.17549999,,-0.30251,761261,0,,0.006,AUD,,2.069,ASX,AFR GOLD FPO,African Gold Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,A1G.AX,finmb_594167007,au_market,,-3.005,-0.5135135,153478000,0.084,1640908800,0.0,-2665536,-0.027,-0.16598755,1.0714287,0.34901002,1703980800,1656547200,67431012,1.914412,8791565,4,,,0.08,0.091,0.104549564,0.0,0.0,0.099,54659,0.08,0.08406568,0.0,0.091,54659,0.09,AUD,42014,14330970,181976,0.09,0.1,11650000,42014,0.275,0.06,0.095,False,54177900,0.099,0.09,https://logo.clearbit.com/african-gold.com,,,,
Basic Materials,"AIC Mines Limited explores for and develops gold and copper deposits in Australia. It holds a 100% interest in the Marymia project comprising an area of approximately 3,600 square kilometers located in the Eastern Gascoyne region of Western Australia; the Eloise copper mine located in North Queensland; and 65% interest in the Lamil project that covers an area of 1,200 square kilometers located in the Paterson Province of Western Australia. The company has also applied for two large exploration licenses located in the Delamerian Orogen in western New South Wales. AIC Mines Limited was incorporated in 1993 and is based in Subiaco, Australia.",Subiaco,61 8 6269 0110,WA,Australia,https://www.aicmines.com.au,1,435 Roberts Road,Other Precious Metals & Mining,0.36183998,0.26696,0.42562,52952000,,0.26097,57354000,strong_buy,67462000,,0.425,2.593,,,,36283000,0,158504000,0.116,AUD,0.513,2.306,ASX,A1MINESLTD FPO,AIC Mines Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,A1M.AX,finmb_541091704,au_market,0.617,1.705,-0.29752064,388631008,0.292,1656547200,0.094560005,42314000,0.02,-0.16598755,1.4554795,0.45055,1719705600,1640908800,167176819,-0.307464,97765208,4,1.0420442,7.0833335,0.43,0.43,0.5122125,0.0,0.0,0.432,175189,0.43,0.45335,0.0,0.43,175189,0.42,AUD,812894,165168176,360980,0.42,0.43,400000,812894,0.73,0.39,0.42,False,1947300,0.432,0.425,https://logo.clearbit.com/aicmines.com.au,,,,
Technology,"A2B Australia Limited, together with its subsidiaries, provides technologies, payment, and taxi related services in Australia. The company operates through three segments: Mobility Services, Mobility Platforms, and Payments. Its mobility Services segment offers taxi networks services to taxi operators and drivers, taxi booking services, vehicle financing and insurance, and full taxi fit-outs and repairs, as well as driver training and education. The Mobility Platforms segment provides booking, payment, and dispatch technologies to mobility providers. Its Payments segment offers merchant acquiring, consulting, licensing, and other payment services. The company also provides courier services, hardware and car sales; school bus route services; and taxi equipment and rental services. The company sells its taxi network services under CAB CHARGE, Maxi Taxi and Yellow Couriers, Silver Service, 13cabs, MTI, Spotto, EFT solutions, and GIRAFFE PAYMENTS brands. A2B Australia Limited was founded in 1976 and is headquartered in Alexandria, Australia.",Alexandria,61 2 9332 9222,NSW,Australia,https://www.a2baustralia.com,1,9-13 O’Riordan Street,Software—Infrastructure,-0.17132999,-0.22291,0.83225,-6244000,0.06,-0.24486999,-21611000,none,104978000,897150,1.05,1.176,-0.10844,30.194,-0.2794,12295000,26009000,126138000,0.101,AUD,1.046,1.073,ASX,A2B AUST FPO,A2B Australia Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,A2B.AX,finmb_4493447,au_market,1.129,-6.59,-0.21052629,121231000,0.699,1656547200,0.5625,-28118000,-0.157,-0.16598755,1.5021459,0.1706,1719705600,1656547200,98473259,1.060712,142410224,4,1.009153,,1.055,1.06,1.1455874,0.0,0.0,1.06,30871,1.055,1.05915,0.0,1.06,30871,1.035,AUD,40949,127292544,61077,1.035,1.065,257000,40949,1.49,0.955,1.05,False,2328600,1.06,1.05,https://logo.clearbit.com/a2baustralia.com,,,,
Consumer Defensive,"The a2 Milk Company Limited, together with its subsidiaries, sells A2 protein type branded milk and related products in Australia, New Zealand, China, other Asian countries, and the United States. It offers its products under the a2 Milk and a2 Platinum brands. The company was formerly known as A2 Corporation Limited and changed its name to The a2 Milk Company Limited in April 2014. The a2 Milk Company Limited was incorporated in 2000 and is based in Auckland, New Zealand.",Auckland,,,New Zealand,https://www.thea2milkcompany.com,1,51 Shortland Street,Packaged Foods,0.13227999,0.08493,0.45958,203800000,0.484,0.122880004,190976000,hold,663518000,197728752,6.83,2.661,0.07182,10.415,0.10074,887308032,124352000,1443740032,1.193,NZD,1.942,2.219,ASX,A2 MILK FPO NZ,The a2 Milk Company Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,A2M.AX,finmb_8081770,au_market,2.999,22.672,0.22841728,731705024,1.587,1656547200,0.23489,122624000,0.15,-0.16598755,4.3037176,0.03514,1719705600,1656547200,740139033,-0.101568,4329801216,2,3.4690866,32.52381,6.95,6.95,5.19895,0.0,0.0,6.95,2114115,6.95,6.301,0.0,6.95,2114115,6.83,AUD,1531466,5008459264,3075939,6.83,6.84,567000,1531466,7.1,3.9,6.83,False,636500,6.95,6.83,https://logo.clearbit.com/thea2milkcompany.com,,,,
Industrials,"Aurora Labs Limited engages in the design, development, and commercialization of 3D metal printers, powders, and digital parts and its related intellectual property in Australia. It develops industrial grade 3D metal printers. The company was incorporated in 2014 and is based in Canning Vale, Australia.",Canning Vale,61 8 9434 1934,WA,Australia,https://www.auroralabs3d.com,1,41-43 Wittenberg Drive,Specialty Industrial Machinery,0.0,0.0,0.43131,-2625121,-0.899,-120.614944,-3804412,none,13886,-1964916,0.03,4.136,-0.77542996,6.101,-1.30321,1946892,160528,32195,0.011,AUD,0.0,4.117,ASX,AURORALABS FPO,Aurora Labs Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,A3D.AX,finmb_347706805,au_market,116.117,-0.983,-0.6938776,184158000,0.014,1656547200,0.0,-3148534,-0.027,-0.16598755,2.142857,0.24799,1719705600,1656547200,140488665,0.910588,3738378,4,171.60242,,0.03,0.028,0.04315,0.0,0.0,0.03,141737,0.03,0.03116,0.0,0.028,141737,0.028,AUD,108500,5524740,152217,0.028,0.03,5000000,108500,0.115,0.026,0.029,False,4934200,0.03,0.03,https://logo.clearbit.com/auroralabs3d.com,,,,
Basic Materials,"Alpha HPA Limited engages in the evaluation, exploration, and development of mineral properties. It primarily explores for high purity alumina (HPA) deposits. The company holds interest in the HPA First project located in Gladstone, Queensland. It also offers HPA and related products for use in the lithium-ion battery and light emitting diode lighting markets. The company was formerly known as Collerina Cobalt Limited and changed its name to Alpha HPA Limited in November 2018. Alpha HPA Limited was incorporated in 2003 and is headquartered in Sydney, Australia.",Sydney,61 2 9300 3310,NSW,Australia,https://alphahpa.com.au,1,66 Hunter Street,Other Industrial Metals & Mining,0.0,0.0,0.33470002,-3763103,1.108,-319.4997,-12322646,buy,12966,-30861708,0.6,2.746,-0.14523,1.147,-0.1515,16831134,537591,38739,0.021,AUD,0.0,2.712,ASX,ALPHA HPA FPO,Alpha HPA Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,A4N.AX,finmb_36115115,au_market,12474.044,-39.215,0.06194687,857219968,0.059,1656547200,0.13831,-7359124,-0.021,-0.16598755,10.169492,0.38055,1719705600,1656547200,487967397,1.005875,483231968,4,13816.558,10.000001,0.59,0.585,0.516475,0.0,0.0,0.6,1734067,0.59,0.6067,0.0,0.585,1734067,0.58,AUD,1305468,535239616,1527698,0.58,0.605,2508600,1305468,0.77,0.37,0.59,False,400000,0.6,0.6,https://logo.clearbit.com/alphahpa.com.au,,,,
Basic Materials,"Australasian Metals Limited explores for gold, lithium, and precious metals in Australia. It holds interests in the May Queen and Mt Clermont projects located in Queensland; Fairview project situated in Western Australia; and Mount Peake Pegmatite and Barrow Creek projects situated in Northern Territory. The company was incorporated in 2018 and is based in West Perth, Australia.",West Perth,61 8 6507 3082,WA,Australia,https://australasiangold.com,1,123B Colin Street,Gold,0.0,0.0,0.0,-930373,,0.0,-569940,none,,-1924620,0.21,20.281,-0.051760003,0.539,-0.15019,5148495,40087,,0.099,AUD,,20.154,ASX,AUMETALS FPO,Australasian Metals Limited,Australia/Sydney,AEDT,False,39600000,EQUITY,A8G.AX,finmb_688308768,au_market,,-8.412,-0.62831855,52120500,0.143,1656547200,0.0,-997902,-0.044,-0.16598755,1.4685314,0.72538,1719705600,1656547200,21458529,,4794486,4,,,0.207,0.21,0.2945875,0.0,0.0,0.21,25786,0.207,0.22625,0.0,0.21,25786,0.21,AUD,72,10945305,29247,0.21,0.21,,72,0.72,0.165,0.2,False,,0.21,0.21,https://logo.clearbit.com/australasiangold.com,,,,
